,NrMovimento,budget/cons,NrArticolo,NrOrigine,Quantity,ImportoVenditaInValutaLocaleTOTALEVENDITA
0,21621,BUDGET,ART0001433,C00140,4,18.8
1,21629,BUDGET,ART0001610,C00140,12,145.28
2,21631,BUDGET,ART0003269,C00140,24,933.99
3,21633,BUDGET,ART0002249,C00140,1,36.33
4,21634,BUDGET,ART0002370,C00140,1,65.72
5,21635,BUDGET,ART0003099,C00140,2,60.54
6,21636,BUDGET,ART0001252,C00140,1,220.9
7,21637,BUDGET,ART0001252,C00140,1,220.9
8,21640,BUDGET,ART0001497,C00140,1,20.68
9,21641,BUDGET,ART0001497,C00140,1,20.68
10,21642,BUDGET,ART0001653,C00140,3,50.76
11,21643,BUDGET,ART0001653,C00140,3,50.76
12,21644,BUDGET,ART0001739,C00140,1,79.9
13,21645,BUDGET,ART0001739,C00140,1,79.9
14,21648,BUDGET,ART0002271,C00140,1,150.4
15,21649,BUDGET,ART0002271,C00140,1,150.4
16,21652,BUDGET,ART0002829,C00140,3,84.6
17,21653,BUDGET,ART0002829,C00140,3,84.6
18,21654,BUDGET,ART0002918,C00140,1,117.5
19,21655,BUDGET,ART0002918,C00140,1,117.5
20,21656,BUDGET,ART0002919,C00140,1,117.5
21,21657,BUDGET,ART0002919,C00140,1,117.5
22,21658,BUDGET,ART0003309,C00140,3,28.2
23,21659,BUDGET,ART0003309,C00140,3,28.2
24,21660,BUDGET,ART0003310,C00140,5,37.6
25,21661,BUDGET,ART0003310,C00140,5,37.6
26,21668,BUDGET,ART0001180,C00140,5,180.95
27,21669,BUDGET,ART0001566,C00140,15,63.45
28,21676,BUDGET,ART0000849,C00140,2,690.9
29,21677,BUDGET,ART0000762,C00140,10,3365.2
30,21678,BUDGET,ART0000795,C00140,8,1767.2
31,21679,BUDGET,ART0000772,C00140,1,374.12
32,21680,BUDGET,ART0000756,C00140,2,545.2
33,21681,BUDGET,ART0000788,C00140,1,310.2
34,21740,BUDGET,ART0005136,C00461,2,95.0
35,21748,BUDGET,ART0004386,C00004,50,325.0
36,21751,BUDGET,ART0000635,C00004,12,180.0
37,21815,BUDGET,ART0005136,C00455,1,16.0
38,21816,BUDGET,ART0005136,C00455,1,16.0
39,21818,BUDGET,ART0002214,C00140,1,89.3
40,21824,BUDGET,ART0003101,C00140,5,103.4
41,21827,BUDGET,ART0000756,C00140,5,1363.0
42,21828,BUDGET,ART0001017,C00140,1,291.4
43,21829,BUDGET,ART0001017,C00140,1,291.4
44,21830,BUDGET,ART0000825,C00140,2,676.8
45,21967,BUDGET,ART0005136,C00455,1,10.0
46,22006,BUDGET,ART0003578,C00094,2,20.0
47,22007,BUDGET,ART0003578,C00094,2,20.0
48,22008,BUDGET,ART0003580,C00094,2,26.0
49,22009,BUDGET,ART0003580,C00094,2,26.0
50,22012,BUDGET,ART0003613,C00094,4,108.0
51,22018,BUDGET,ART0003782,C00094,4,76.0
52,22021,BUDGET,ART0005136,C00094,1,17.0
53,22058,BUDGET,ART0002145,C00140,1,79.9
54,22059,BUDGET,ART0002513,C00140,4,135.36
55,22060,BUDGET,ART0002551,C00140,3,1156.2
56,22061,BUDGET,ART0002424,C00140,6,78.96
57,22062,BUDGET,ART0001253,C00140,1,79.9
58,22063,BUDGET,ART0001741,C00140,1,169.2
59,22095,BUDGET,ART0003785,C00094,6,84.0
