,NrArticolo,NrOrdineProduzione,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP,QuantitydiOutput
0,ART0003610,ODP17-06015,28010,ART0005335,189.0,28.35,180.0
1,ART0003610,ODP17-06015,31153,ART0005336,180.0,144.0,180.0
2,ART0003610,ODP17-06015,31154,ART0005154,9000.0,489.14,180.0
3,ART0004363,ODP17-15962,35504,ART0005953,116.0,826.57,116.0
4,ART0004384,ODP17-15356,34986,ART0005933,110.0,330.0,110.0
5,ART0004373,ODP17-05344,27700,ART0005640,102.0,1428.0,102.0
6,ART0004374,ODP17-05344,27701,ART0005641,102.0,1039.38,102.0
7,ART0004397,ODP17-05344,27702,ART0005642,101.0,2471.47,101.0
8,ART0001807,ODP17-02480,30452,ART0005460,3300.0,1371.23,60.0
9,ART0001908,ODP17-07396,29989,ART0005652,3030.0,102.95,60.0
10,ART0001908,ODP17-07396,29990,ART0005652,3030.0,102.96,60.0
11,ART0002793,ODP17-02988,25371,ART0005323,60.0,468.0,60.0
12,ART0001917,ODP17-02480,30453,ART0005714,3717.0,654.2,59.0
13,ART0005136,ODP17-11970,33014,ART0005863,6.0,0.0,56.0
14,ART0005136,ODP17-11970,33015,ART0005470,50.0,0.0,56.0
15,ART0005136,ODP17-04557,26645,ART0005176,42.0,0.0,54.0
16,ART0005136,ODP17-04557,26646,ART0005176,12.0,0.0,54.0
17,ART0001868,ODP17-15078,35502,ART0005434,8480.0,177.99,53.0
18,ART0003189,ODP17-02988,25372,ART0005459,52.0,109.2,52.0
19,ART0000643,ODP17-02240,25018,ART0005443,51.0,219.3,51.0
20,ART0005136,ODP17-09117,29979,ART0005216,50.0,0.0,51.0
21,ART0000748,ODP17-05535,28241,ART0001868,50.0,1348.54,50.0
22,ART0000748,ODP17-05535,28242,ART0001756,50.0,1100.0,50.0
23,ART0000748,ODP17-05535,28243,ART0005432,50.0,175.0,50.0
24,ART0000748,ODP17-05535,28244,ART0005433,50.0,50.0,50.0
25,ART0000748,ODP17-05535,28245,ART0005242,100.0,128.0,50.0
