,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
0,28854,BUDGET,ART0001074,ART0000018,ODP17-05342,30.0,5.15
1,66819,CONSUNTIVO,ART0001074,ART0000018,ODP19-05998,30.0,5.15
2,28853,BUDGET,ART0005696,ART0000041,ODP17-05342,4.0,92.0
3,66818,CONSUNTIVO,ART0005696,ART0000041,ODP19-05998,4.0,88.0
4,28855,BUDGET,ART0005697,ART0000042,ODP17-05342,4.0,104.0
5,66817,CONSUNTIVO,ART0005697,ART0000042,ODP19-05998,4.0,100.0
6,28852,BUDGET,ART0001074,ART0000043,ODP17-05342,210.0,36.06
7,66820,CONSUNTIVO,ART0001074,ART0000043,ODP19-05998,208.0,35.71
8,28514,BUDGET,ART0005683,ART0000115,ODP17-04831,645.0,210.48
9,35510,BUDGET,ART0005683,ART0000115,ODP17-10637,660.0,223.96
10,57633,CONSUNTIVO,ART0005683,ART0000115,ODP19-00633,651.0,268.26
11,27234,BUDGET,ART0005606,ART0000116,ODP17-02128,2.0,52.0
12,30604,BUDGET,ART0005606,ART0000116,ODP17-05181,3.0,90.0
13,43581,CONSUNTIVO,ART0005606,ART0000116,ODP18-03472,3.0,90.0
14,47661,CONSUNTIVO,ART0005606,ART0000116,ODP18-05889,3.0,120.0
15,57850,CONSUNTIVO,ART0005216,ART0000116,ODP19-01808,3.0,0.0
16,57851,CONSUNTIVO,ART0006694,ART0000116,ODP19-01808,1.0,35.0
17,63058,CONSUNTIVO,ART0005606,ART0000116,ODP19-03352,3.0,90.0
18,31137,BUDGET,ART0005792,ART0000119,ODP17-08969,310.0,16.51
19,57185,CONSUNTIVO,ART0005792,ART0000119,ODP19-01591,318.0,16.94
20,63055,CONSUNTIVO,ART0005792,ART0000119,ODP19-04430,318.0,16.94
21,32867,BUDGET,ART0005848,ART0000121,ODP17-09469,16.0,61.92
22,39866,CONSUNTIVO,ART0005848,ART0000121,ODP18-03469,15.0,58.05
23,23845,BUDGET,ART0005160,ART0000125,ODP17-00418,45.0,9.62
24,28240,BUDGET,ART0005160,ART0000125,ODP17-02966,138.0,29.49
25,64861,CONSUNTIVO,ART0005160,ART0000125,ODP19-05230,92.0,20.92
26,22836,BUDGET,ART0005290,ART0000128,ODP16-15233,11.0,66.0
27,43584,CONSUNTIVO,ART0005290,ART0000128,ODP18-03529,10.0,58.0
28,43585,CONSUNTIVO,ART0005290,ART0000128,ODP18-03529,2.0,11.6
29,25194,BUDGET,ART0005447,ART0000129,ODP17-01503,5.0,195.0
30,36412,CONSUNTIVO,ART0005447,ART0000129,ODP17-14046,3.0,129.0
31,40760,CONSUNTIVO,ART0005447,ART0000129,ODP18-02172,6.0,258.0
32,45906,CONSUNTIVO,ART0005447,ART0000129,ODP18-05141,6.0,258.0
33,23383,BUDGET,ART0005339,ART0000131,ODP16-16476,1470.0,26.22
34,36413,CONSUNTIVO,ART0005936,ART0000131,ODP17-15960,1656.0,51.0
35,27501,BUDGET,ART0005160,ART0000151,ODP17-03785,24.0,5.13
36,34019,BUDGET,ART0005892,ART0000151,ODP17-10636,5.0,40.0
37,39864,CONSUNTIVO,ART0005892,ART0000151,ODP18-00265,5.0,40.0
38,27502,BUDGET,ART0005161,ART0000152,ODP17-03785,18.0,2.46
39,34020,BUDGET,ART0005893,ART0000152,ODP17-10636,100.0,12.69
40,39865,CONSUNTIVO,ART0005824,ART0000152,ODP18-00265,100.0,14.6
41,33465,BUDGET,ART0005869,ART0000157,ODP17-10507,1.0,45.0
42,56531,CONSUNTIVO,ART0005869,ART0000157,ODP19-01044,1.0,45.0
43,27742,BUDGET,ART0005644,ART0000223,ODP17-05309,16.0,116.8
44,58366,CONSUNTIVO,ART0005644,ART0000223,ODP19-02131,4.0,29.2
45,33885,BUDGET,ART0005891,ART0000226,ODP17-10413,940.0,40.31
46,36564,CONSUNTIVO,ART0005154,ART0000226,ODP17-14304,120.0,7.09
