,NrArticolo,budgetConsuntivo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,QuantitydiOutput
0,ART0000788,BUDGET,ODP16-16812,Montaggio,A40,RIS4,0.25,1.0
1,ART0000756,BUDGET,ODP16-15232,Montaggio,A40,RIS4,1.0,2.0
2,ART0000772,BUDGET,ODP16-15712,Montaggio,A40,RIS4,1.25,1.0
3,ART0000762,BUDGET,ODP16-14704,Montaggio,A40,RIS4,3.0,10.0
4,ART0000762,BUDGET,ODP16-14704,Controllo qualità,CQ,RIS16,0.0,10.0
5,ART0000772,BUDGET,ODP16-15712,Controllo qualità,CQ,RIS16,0.0,1.0
6,ART0000788,BUDGET,ODP16-16812,Controllo qualità,CQ,RIS16,0.0,1.0
7,ART0000756,BUDGET,ODP16-15232,Controllo qualità,CQ,RIS16,0.0,2.0
8,ART0003578,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.0,10.0
9,ART0003580,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.0,10.0
10,ART0000645,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.0,23.0
11,ART0002513,BUDGET,ODP16-15976,Tornitura,A20,RIS14,2.5,7.0
12,ART0001180,BUDGET,ODP16-14655,Controllo qualità,CQ,RIS16,0.0,5.0
13,ART0002145,BUDGET,ODP16-17333,Tornitura,A20,RIS2,1.0,1.0
14,ART0001253,BUDGET,ODP16-15711,Tornitura,A20,RIS2,1.0,1.0
15,ART0002740,BUDGET,ODP16-16942,Fresatura,A30,RIS7,4.75,40.0
16,ART0001926,BUDGET,ODP16-14758,Fresatura,A30,RIS7,1.0,3.0
17,ART0002513,BUDGET,ODP16-15976,Fresatura,A30,RIS7,1.5,7.0
18,ART0001926,BUDGET,ODP16-14758,Saldatura,A11,RIS1,1.0,12.0
19,ART0002145,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.5,1.0
20,ART0005136,BUDGET,ODP16-16477,Fresatura,A30,RIS9,0.75,0.0
21,ART0001779,BUDGET,ODP16-14652,Tornitura,A20,RIS14,2.5,8.0
22,ART0001253,BUDGET,ODP16-15711,Fresatura,A30,RIS7,0.5,1.0
23,ART0001779,BUDGET,ODP16-14652,Fresatura,A30,RIS7,2.25,8.0
24,ART0002551,BUDGET,ODP16-15980,Tornitura,A20,RIS2,2.25,3.0
25,ART0000756,BUDGET,ODP16-15977,Montaggio,A40,RIS4,1.5,5.0
26,ART0001743,BUDGET,ODP16-15980,Fresatura,A30,RIS7,5.0,0.0
27,ART0002366,BUDGET,ODP16-16942,Tornitura,A20,RIS2,2.0,4.0
