,NrArticolo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,CostoOrarioRisorsa,QuantitydiOutput,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP
0,ART0000018,ODP17-05342,Tornitura,A20,RIS2,1.0,68.0,2.0,28854,ART0001074,30.0,5.15
1,ART0000018,ODP17-05342,Fresatura,A30,RIS7,0.75,51.0,2.0,28854,ART0001074,30.0,5.15
2,ART0000018,ODP17-05342,Controllo qualità,CQ,RIS16,0.0,12.75,2.0,28854,ART0001074,30.0,5.15
3,ART0000041,ODP17-05342,Tornitura,A20,RIS14,3.0,51.0,4.0,28853,ART0005696,4.0,92.0
4,ART0000041,ODP17-05342,Tornitura,A20,RIS14,1.5,51.0,0.0,28853,ART0005696,4.0,92.0
5,ART0000041,ODP17-05342,Fresatura,A30,RIS7,1.25,51.0,4.0,28853,ART0005696,4.0,92.0
6,ART0000041,ODP17-05342,Controllo qualità,CQ,RIS16,0.0,12.75,4.0,28853,ART0005696,4.0,92.0
7,ART0000042,ODP17-05342,Tornitura,A20,RIS14,5.0,51.0,4.0,28855,ART0005697,4.0,104.0
8,ART0000042,ODP17-05342,Fresatura,A30,RIS7,3.5,51.0,4.0,28855,ART0005697,4.0,104.0
9,ART0000042,ODP17-05342,Controllo qualità,CQ,RIS16,0.0,12.75,4.0,28855,ART0005697,4.0,104.0
10,ART0000043,ODP17-05342,Tornitura,A20,RIS2,1.5,68.0,2.0,28852,ART0001074,210.0,36.06
11,ART0000043,ODP17-05342,Tornitura,A20,RIS2,3.0,68.0,0.0,28852,ART0001074,210.0,36.06
12,ART0000043,ODP17-05342,Fresatura,A30,RIS7,0.0,51.0,0.25,28852,ART0001074,210.0,36.06
13,ART0000043,ODP17-05342,Fresatura,A30,RIS7,0.25,51.0,2.0,28852,ART0001074,210.0,36.06
14,ART0000043,ODP17-05342,Brocciatura / stozzatrice,A33,RIS13,0.5,42.5,2.0,28852,ART0001074,210.0,36.06
15,ART0000043,ODP17-05342,Tornitura,A20,RIS2,0.0001,68.0,0.0,28852,ART0001074,210.0,36.06
