,NrArticolo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,CostoOrarioRisorsa,QuantitydiOutput,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP
0,ART0000018,ODP19-05998,Tornitura,A20,RIS2,1.0,80,2.0,66819,ART0001074,30.0,5.15
1,ART0000018,ODP19-05998,Fresatura,A30,RIS5,1.0,50,2.0,66819,ART0001074,30.0,5.15
2,ART0000018,ODP19-05998,Controllo qualità,CQ,RIS16,0.0,15,2.0,66819,ART0001074,30.0,5.15
3,ART0000041,ODP19-05998,Tornitura,A20,RIS1,3.0,80,4.0,66818,ART0005696,4.0,88.0
4,ART0000041,ODP19-05998,Fresatura,A30,RIS1,0.0001,80,4.0,66818,ART0005696,4.0,88.0
5,ART0000041,ODP19-05998,Controllo qualità,CQ,RIS16,0.0,15,4.0,66818,ART0005696,4.0,88.0
6,ART0000042,ODP19-05998,Tornitura,A20,RIS1,4.0,80,4.0,66817,ART0005697,4.0,100.0
7,ART0000042,ODP19-05998,Fresatura,A30,RIS1,0.0001,80,4.0,66817,ART0005697,4.0,100.0
8,ART0000042,ODP19-05998,Controllo qualità,CQ,RIS16,0.0,15,4.0,66817,ART0005697,4.0,100.0
9,ART0000043,ODP19-05998,Tornitura,A20,RIS14,1.0,60,1.0,66820,ART0001074,208.0,35.71
10,ART0000043,ODP19-05998,Fresatura,A30,RIS5,0.5,50,0.0,66820,ART0001074,208.0,35.71
11,ART0000043,ODP19-05998,Tornitura,A20,RIS2,1.75,80,1.0,66820,ART0001074,208.0,35.71
12,ART0000043,ODP19-05998,Fresatura,A30,RIS10,1.0,60,2.0,66820,ART0001074,208.0,35.71
13,ART0000043,ODP19-05998,Controllo qualità,CQ,RIS16,0.0,15,2.0,66820,ART0001074,208.0,35.71
14,ART0000043,ODP19-05998,Brocciatura / stozzatrice,A33,RIS13,0.75,50,2.0,66820,ART0001074,208.0,35.71
15,ART0000115,ODP19-00633,Tornitura,A20,RIS1,9.0,80,0.0,57633,ART0005683,651.0,268.26
16,ART0000115,ODP19-00633,Tornitura,A20,RIS1,9.0,80,3.0,57633,ART0005683,651.0,268.26
17,ART0000115,ODP19-00633,Controllo qualità,CQ,RIS16,0.0,15,3.0,57633,ART0005683,651.0,268.26
18,ART0000116,ODP18-03472,Fresatura,A30,RIS5,4.5,50,3.0,43581,ART0005606,3.0,90.0
19,ART0000116,ODP18-05889,Fresatura,A30,RIS5,2.75,50,0.0,47661,ART0005606,3.0,120.0
20,ART0000116,ODP18-05889,Fresatura,A30,RIS5,1.5,50,3.0,47661,ART0005606,3.0,120.0
21,ART0000116,ODP19-01808,Tornitura,A20,RIS2,6.25,80,3.0,57850,ART0005216,3.0,0.0
22,ART0000116,ODP19-01808,Tornitura,A20,RIS2,6.25,80,3.0,57851,ART0006694,1.0,35.0
23,ART0000116,ODP19-01808,Fresatura,A30,RIS5,3.75,50,3.0,57850,ART0005216,3.0,0.0
24,ART0000116,ODP19-01808,Fresatura,A30,RIS5,3.75,50,3.0,57851,ART0006694,1.0,35.0
