,NrArticolo,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
0,ART0000762,15123.699999999999,3111.43,12012.269999999999
1,ART0000826,3913.21,651.27,3261.94
2,ART0000812,3900.33,1246.5,2653.83
3,ART0004146,1790.92,605.97,1184.95
4,ART0001913,1469.78,524.13,945.65
5,ART0000786,2603.5300000000007,1816.0099999999998,787.5200000000009
6,ART0004363,826.57,42.4,784.1700000000001
7,ART0001785,918.95,222.38,696.57
8,ART0000769,857.4200000000001,294.0,563.4200000000001
9,ART0000772,1315.25,771.1,544.15
10,ART0000780,816.87,322.29999999999995,494.57000000000005
11,ART0000749,883.3900000000001,389.62,493.7700000000001
12,ART0003609,890.0799999999999,401.61,488.4699999999999
13,ART0001897,673.03,230.29000000000002,442.73999999999995
14,ART0003610,776.07,368.74,407.33000000000004
15,ART0000788,920.7000000000002,552.62,368.08000000000015
16,ART0005028,497.26,142.82,354.44
17,ART0000625,464.07,120.85,343.22
18,ART0000804,3422.3899999999985,3084.82,337.56999999999834
19,ART0000645,724.4599999999999,420.06,304.3999999999999
20,ART0001942,435.12,135.74,299.38
21,ART0002370,288.8,64.73,224.07
22,ART0001017,455.24,237.39000000000001,217.85
23,ART0000841,2940.7,2723.7200000000003,216.97999999999956
24,ART0000756,5012.42,4810.659999999999,201.76000000000113
25,ART0000814,593.4100000000001,415.41,178.00000000000006
26,ART0000115,434.44,268.26,166.18
27,ART0000757,496.68,345.73999999999995,150.94000000000005
28,ART0000845,1370.6100000000001,1222.76,147.85000000000014
29,ART0002385,712.8799999999999,567.0799999999999,145.79999999999995
30,ART0002829,222.2,76.84,145.35999999999999
31,ART0001931,254.94,113.16,141.78
32,ART0004836,260.0,120.0,140.0
33,ART0000627,241.49,103.72,137.77
34,ART0001832,159.2,57.73,101.47
35,ART0003135,108.0,14.0,94.0
36,ART0000223,116.8,29.2,87.6
37,ART0001154,110.22999999999999,22.68,87.54999999999998
38,ART0002224,166.46,82.52,83.94000000000001
39,ART0002938,125.62,43.96,81.66
40,ART0004014,399.41,320.32,79.09000000000003
41,ART0004384,330.0,256.2,73.80000000000001
42,ART0002747,133.1,59.37,73.72999999999999
