,NrArticolo,ImpiegoStandard,ImpiegoEffettivo,scostamento
0,ART0000018,5.15,5.15,0.0
1,ART0000041,92.0,92.0,0.0
2,ART0000042,104.0,104.0,0.0
3,ART0000043,36.06,35.716571428571434,0.34342857142856786
4,ART0000115,434.44,216.7206436781609,217.7193563218391
5,ART0000116,142.0,369.2,-227.2
6,ART0000119,16.51,33.872129032258066,-17.362129032258064
7,ART0000121,61.92,58.050000000000004,3.8699999999999974
8,ART0000125,39.11,19.66185792349727,19.44814207650273
9,ART0000128,66.0,72.0,-6.0
10,ART0000129,195.0,585.0,-390.0
11,ART0000131,26.22,29.53763265306122,-3.317632653061221
12,ART0000151,45.13,7.781034482758621,37.34896551724138
13,ART0000152,15.149999999999999,12.838983050847455,2.3110169491525436
14,ART0000157,45.0,45.0,0.0
15,ART0000223,116.8,29.2,87.6
16,ART0000226,40.31,515.1532234042553,-474.8432234042553
17,ART0000227,25.83,388.67999999999995,-362.84999999999997
18,ART0000228,62.4,460.512,-398.112
19,ART0000229,7.9,154.86025641025643,-146.96025641025642
20,ART0000308,144.9,103.50000000000001,41.39999999999999
21,ART0000312,236.0,260.0,-24.0
22,ART0000313,190.8,301.2631578947368,-110.46315789473681
23,ART0000320,47.769999999999996,54.545886524822684,-6.775886524822688
24,ART0000323,45.64,55.680800000000005,-10.040800000000004
25,ART0000324,25.68,5.820799999999999,19.8592
26,ART0000325,57.05,108.1668,-51.1168
27,ART0000456,7.84,27.776,-19.936
28,ART0000555,1.33,10.357375000000001,-9.027375000000001
29,ART0000625,464.07,208.61509430051814,255.45490569948186
30,ART0000627,241.49,108.24696369230769,133.2430363076923
31,ART0000628,320.19,291.9017669654289,28.28823303457108
32,ART0000630,227.94,189.36874852883486,38.57125147116514
33,ART0000635,60.0,42.0,18.0
34,ART0000638,30.0,30.0,0.0
35,ART0000639,34.44,22.51928173374613,11.920718266253868
36,ART0000641,60.0,192.0,-132.0
37,ART0000642,62.5,125.0,-62.5
38,ART0000643,219.3,266.59999999999997,-47.299999999999955
39,ART0000644,295.49,233.2435581134766,62.2464418865234
40,ART0000645,724.4599999999999,466.48156097560974,257.9784390243902
41,ART0000690,11.22,11.494266666666668,-0.27426666666666755
42,ART0000697,4.41,7.98,-3.5700000000000003
43,ART0000748,11130.57,32893.97226182761,-21763.402261827607
44,ART0000749,883.3900000000001,441.69500000000005,441.69500000000005
45,ART0000752,6489.7699999999995,14196.371874999999,-7706.601874999999
46,ART0000753,1699.99,1699.99,0.0
47,ART0000756,5012.42,5012.42,0.0
48,ART0000757,496.68,496.68,0.0
49,ART0000758,2899.5400000000004,2718.3187500000004,181.22125000000005
50,ART0000762,15123.699999999999,2736.6695238095235,12387.030476190475
51,ART0000765,232.35,232.35,0.0
52,ART0000769,857.4200000000001,285.8066666666667,571.6133333333335
53,ART0000772,1315.25,789.1500000000001,526.0999999999999
54,ART0000778,570.9199999999998,3615.826666666666,-3044.906666666666
55,ART0000779,398.31999999999994,1593.2799999999997,-1194.9599999999998
56,ART0000780,816.87,367.5915,449.2785
57,ART0000782,3748.9999999999995,7706.277777777777,-3957.277777777778
58,ART0000783,4216.21,8666.653888888888,-4450.443888888888
59,ART0000784,3040.26,6514.842857142858,-3474.5828571428574
60,ART0000786,2603.5300000000007,1952.6475000000003,650.8825000000004
61,ART0000788,920.7000000000002,460.35,460.35000000000014
62,ART0000790,514.97,1029.94,-514.97
63,ART0000795,20651.329999999994,25037.453185840703,-4386.123185840708
64,ART0000796,506.83000000000004,1013.6600000000001,-506.83000000000004
65,ART0000797,370.57,741.1400000000001,-370.5700000000001
66,ART0000804,3422.3899999999985,2737.911999999999,684.4779999999996
67,ART0000805,695.9000000000001,1043.8500000000001,-347.95000000000005
68,ART0000811,3343.14,11700.989999999998,-8357.849999999999
69,ART0000812,3900.33,1300.1100000000001,2600.22
70,ART0000814,593.4100000000001,593.4100000000001,0.0
71,ART0000825,1670.71,2004.852,-334.14200000000005
72,ART0000826,3913.21,782.642,3130.568
73,ART0000830,1090.9599999999998,4363.839999999999,-3272.879999999999
74,ART0000841,2940.7,2940.7,0.0
75,ART0000843,925.2099999999999,925.2099999999998,1.1368683772161603e-13
76,ART0000845,1370.6100000000001,1370.6100000000001,0.0
77,ART0000847,706.6800000000001,16198.21411764706,-15491.53411764706
78,ART0000848,10826.09,15300.873866666667,-4474.783866666667
79,ART0000849,322.6500000000001,4015.2000000000007,-3692.5500000000006
80,ART0000850,1128.6599999999999,2116.2374999999997,-987.5774999999999
81,ART0000851,2749.55,6873.875,-4124.325
82,ART0000853,11467.17,16914.07575,-5446.90575
83,ART0000877,135.14,97.55418749999998,37.5858125
84,ART0000878,135.16,193.02537500000003,-57.86537500000003
85,ART0000879,124.31,197.65290000000002,-73.34290000000001
86,ART0000880,12.94,24.94185,-12.00185
87,ART0000881,48.28,72.52972727272727,-24.24972727272727
88,ART0000882,22.04,20.805,1.2349999999999994
89,ART0000883,64.05,53.655921052631584,10.394078947368413
90,ART0000885,39.34,59.2182705882353,-19.878270588235296
91,ART0000887,55.44,55.496,-0.05600000000000449
92,ART0000888,20.94,29.65556756756757,-8.715567567567568
93,ART0000889,6.8,19.191111111111113,-12.391111111111112
94,ART0000890,2.16,3.8556000000000004,-1.6956000000000002
95,ART0000891,18.93,11.357999999999999,7.572000000000001
96,ART0000893,33.11,43.94191402714932,-10.831914027149324
97,ART0001017,455.24,227.62,227.62
98,ART0001018,412.02,824.04,-412.02
99,ART0001046,8.370000000000001,75.70431055900622,-67.33431055900621
100,ART0001047,40.92,292.7965048543689,-251.87650485436887
101,ART0001095,1.62,16.92,-15.3
102,ART0001099,255.53,755.0188301886792,-499.48883018867923
103,ART0001100,33.98,33.98,0.0
104,ART0001102,18.21,41.56373376623377,-23.353733766233766
105,ART0001104,19.62,45.20873493975904,-25.58873493975904
106,ART0001110,12.0,108.0,-96.0
107,ART0001113,4.29,60.7464,-56.4564
108,ART0001117,1271.74,1254.7761703958693,16.96382960413075
109,ART0001129,31.0,31.0,0.0
110,ART0001149,33.05,43.63674796747967,-10.586747967479674
111,ART0001154,110.22999999999999,25.641193846153843,84.58880615384615
112,ART0001162,265.79999999999995,262.5185185185185,3.281481481481478
113,ART0001164,44.36,44.52676691729323,-0.16676691729323068
114,ART0001170,40.29,120.55358638743455,-80.26358638743454
115,ART0001174,78.48,345.104105960265,-266.62410596026496
116,ART0001180,4.21,8.37625974025974,-4.166259740259741
117,ART0001185,46.78,227.10686468646867,-180.32686468646867
118,ART0001188,1.17,3.4515,-2.2815
119,ART0001190,4.66,4.639739130434783,0.020260869565217554
120,ART0001202,77.23,77.23,0.0
121,ART0001203,73.52000000000001,71.22727650727651,2.2927234927234963
122,ART0001208,8.5,17.0,-8.5
123,ART0001214,30.68,161.28914285714285,-130.60914285714284
124,ART0001215,42.27,40.77811764705883,1.4918823529411753
125,ART0001218,1.03,1.0150181818181818,0.014981818181818207
126,ART0001219,9.77,9.702620689655172,0.06737931034482791
127,ART0001228,1.12,9.629617021276596,-8.509617021276597
128,ART0001238,5.1,2.5570833333333334,2.5429166666666663
129,ART0001244,118.77,60.698181818181816,58.07181818181818
130,ART0001249,17.23,5.7074375,11.5225625
131,ART0001252,41.69,57.78046629213483,-16.090466292134835
132,ART0001253,5.92,5.849313432835821,0.07068656716417898
133,ART0001261,0.52,3.4012727272727274,-2.8812727272727274
134,ART0001263,0.9099999999999999,5.696363636363635,-4.786363636363635
135,ART0001264,0.82,1.6184918032786884,-0.7984918032786884
136,ART0001265,328.0,328.0,0.0
137,ART0001266,72.0,72.0,0.0
138,ART0001267,2.53,2.4869361702127657,0.04306382978723411
139,ART0001272,143.3,141.24721763085398,2.05278236914603
140,ART0001276,0.36,0.35733333333333334,0.0026666666666666505
141,ART0001277,1.19,1.1800833333333332,0.009916666666666796
142,ART0001290,1.19,1.1800833333333332,0.009916666666666796
143,ART0001294,2.7699999999999996,0.6945268292682926,2.075473170731707
144,ART0001391,22.75,11.666666666666666,11.083333333333334
145,ART0001409,5.47,17.74110266159696,-12.27110266159696
146,ART0001422,18.96,16.432000000000002,2.5279999999999987
147,ART0001427,0.14,1.7995833333333333,-1.6595833333333334
148,ART0001429,7.35,7.316891891891892,0.033108108108107714
149,ART0001433,11.870000000000001,6.247368421052633,5.622631578947368
150,ART0001441,23.33,24.88533333333333,-1.5553333333333335
151,ART0001492,0.81,0.8910000000000001,-0.08100000000000007
152,ART0001493,35.14,118.40652173913043,-83.26652173913043
153,ART0001497,41.89,28.42535714285714,13.46464285714286
154,ART0001500,9.57,11.9625,-2.3925
155,ART0001514,46.25,81.38221153846155,-35.13221153846155
156,ART0001515,25.0,25.0,0.0
157,ART0001520,3.91,108.01375,-104.10375
158,ART0001534,12.0,24.0,-12.0
159,ART0001535,1.96,2.303,-0.34299999999999997
160,ART0001566,1.22,3.0710344827586207,-1.8510344827586207
161,ART0001575,2.16,12.18175415282392,-10.02175415282392
162,ART0001587,0.6900000000000001,0.7002644628099174,-0.01026446280991733
163,ART0001588,0.32,0.3144347826086957,0.0055652173913043335
164,ART0001590,9.0,22.503114186851214,-13.503114186851214
165,ART0001593,0.2,0.0518796992481203,0.1481203007518797
166,ART0001605,1.72,1.712,0.008000000000000007
167,ART0001606,7.14,7.14,0.0
168,ART0001609,1.25,3.3630952380952377,-2.1130952380952377
169,ART0001610,0.95,4.414190573770491,-3.464190573770491
170,ART0001612,0.02,0.020955951265229613,-0.0009559512652296126
171,ART0001615,34.72,44.352000000000004,-9.632000000000005
172,ART0001628,5.510000000000001,0.8113626373626375,4.698637362637363
173,ART0001636,4.05,6.072574850299401,-2.022574850299401
174,ART0001637,17.9,26.933255813953487,-9.033255813953488
175,ART0001653,18.58,21.31277821011673,-2.732778210116731
176,ART0001659,22.44,7.463377777777778,14.976622222222224
177,ART0001669,4.0,4.0,0.0
178,ART0001670,1.28,1.2672,0.012799999999999923
179,ART0001731,90.0,214.58823529411765,-124.58823529411765
180,ART0001733,123.0,8487.0,-8364.0
181,ART0001739,40.28,77.539,-37.259
182,ART0001740,9.38,9.469333333333333,-0.08933333333333238
183,ART0001741,39.35,30.35571428571429,8.994285714285713
184,ART0001743,167.2,220.96627450980392,-53.766274509803935
185,ART0001745,149.18,250.7836756756757,-101.6036756756757
186,ART0001759,945.5100000000001,1248.0732,-302.56319999999994
187,ART0001761,27.77,14.193555555555553,13.576444444444446
188,ART0001762,12.27,24.54,-12.27
189,ART0001765,678.2099999999999,746.9117922077921,-68.70179220779221
190,ART0001766,88.13000000000001,52.98747826086957,35.14252173913044
191,ART0001767,33.4,33.77111111111111,-0.3711111111111123
192,ART0001768,57.24,35.030879999999996,22.209120000000006
193,ART0001770,148.05,1035.5040000000001,-887.4540000000002
194,ART0001772,132.11,189.04941,-56.93940999999998
195,ART0001773,38.05,69.155875,-31.105874999999997
196,ART0001775,575.52,633.3626666666667,-57.84266666666667
197,ART0001776,82.85,112.90343137254901,-30.053431372549014
198,ART0001777,14.38,144.5281012658228,-130.14810126582282
199,ART0001778,23.82,24.084666666666667,-0.2646666666666668
200,ART0001779,22.4,59.97599999999999,-37.57599999999999
201,ART0001783,73.74000000000001,202.4498181818182,-128.70981818181818
202,ART0001785,918.95,191.44791666666669,727.5020833333333
203,ART0001786,225.77,476.1614605647517,-250.39146056475167
204,ART0001788,140.0,301.4285714285714,-161.4285714285714
205,ART0001789,31.17,31.17,0.0
206,ART0001794,337.85,902.4061871227365,-564.5561871227364
207,ART0001799,199.17,929.5084421743887,-730.3384421743888
208,ART0001804,32.11,32.96247787610619,-0.8524778761061924
209,ART0001807,1888.65,3089.218864864865,-1200.5688648648647
210,ART0001811,471.96,1194.9894476062939,-723.0294476062938
211,ART0001813,92.05,94.53200468933177,-2.4820046893317738
212,ART0001817,141.01,186.27782564102563,-45.26782564102564
213,ART0001821,151.43,60.296672727272735,91.13332727272727
214,ART0001825,6.6,13.353488372093022,-6.753488372093022
215,ART0001829,30.1,59.87103825136612,-29.77103825136612
216,ART0001830,215.45999999999998,475.0892999999999,-259.62929999999994
217,ART0001832,159.2,47.2078612716763,111.99213872832368
218,ART0001837,120.25,126.34963768115942,-6.099637681159422
219,ART0001840,52.14,202.3475744680851,-150.2075744680851
220,ART0001841,88.09,176.85761538461537,-88.76761538461537
221,ART0001866,3456.79,5060.264178005243,-1603.4741780052427
222,ART0001868,627.64,1883.5383645320196,-1255.8983645320195
223,ART0001869,37.78,18.89,18.89
224,ART0001872,62.33,28.558472727272726,33.77152727272727
225,ART0001873,151.51,301.55484835164833,-150.04484835164834
226,ART0001874,16.51,16.51,0.0
227,ART0001877,135.38,152.09358024691358,-16.71358024691358
228,ART0001880,34.51,20.542960629921257,13.96703937007874
229,ART0001882,28.98,225.76800000000003,-196.78800000000004
230,ART0001884,110.93,79.66532992327366,31.264670076726347
231,ART0001885,38.33,68.08801818181817,-29.758018181818173
232,ART0001886,228.42,320.25321384928714,-91.83321384928715
233,ART0001889,73.94,98.58666666666666,-24.64666666666666
234,ART0001890,9.57,9.403565217391304,0.1664347826086967
235,ART0001891,9.01,24.24253125,-15.23253125
236,ART0001895,47.4,140.8855462184874,-93.4855462184874
237,ART0001897,673.03,142.8280069808028,530.2019930191972
238,ART0001898,383.05000000000007,732.6464839319472,-349.5964839319471
239,ART0001900,3.91,7.550344827586207,-3.6403448275862065
240,ART0001908,252.01999999999998,379.01536646785945,-126.99536646785947
241,ART0001913,1469.78,128238.305,-126768.525
242,ART0001917,931.4000000000001,1507.9809523809524,-576.5809523809523
243,ART0001920,90.43,108.9817339055794,-18.551733905579397
244,ART0001921,312.08,773.7243399999999,-461.6443399999999
245,ART0001923,255.94,250.4653475935829,5.474652406417107
246,ART0001926,128.53,128.1519705882353,0.3780294117647145
247,ART0001931,254.94,100.67417872340425,154.26582127659574
248,ART0001935,18.62,34.61129411764706,-15.991294117647062
249,ART0001939,11.29,22.71684848484848,-11.426848484848481
250,ART0001940,416.58000000000004,900.487782324059,-483.907782324059
251,ART0001942,435.12,129.6151111111111,305.5048888888889
252,ART0001945,29.92,59.84,-29.92
253,ART0001946,59.03,114.5182,-55.48819999999999
254,ART0001947,22.56,22.058666666666664,0.501333333333335
255,ART0001950,34.43,142.6581673306773,-108.22816733067728
256,ART0001951,50.49,101.33935943060499,-50.849359430604984
257,ART0001981,7.39,14.78,-7.39
258,ART0001989,9.91,7.358910891089109,2.551089108910891
259,ART0001993,14.0,273.0,-259.0
260,ART0001994,182.39999999999998,172.79999999999998,9.599999999999994
261,ART0002010,6.09,8.007222222222222,-1.9172222222222217
262,ART0002012,46.54,3.1026666666666665,43.437333333333335
263,ART0002015,10.850000000000001,12.20625,-1.3562499999999993
264,ART0002017,51.0,51.0,0.0
265,ART0002018,42.0,42.0,0.0
266,ART0002019,49.0,49.0,0.0
267,ART0002026,8.74,4.734166666666667,4.005833333333333
268,ART0002027,7.89,9.862499999999999,-1.9724999999999993
269,ART0002028,24.0,48.0,-24.0
270,ART0002029,33.0,33.0,0.0
271,ART0002041,65.4,90.09183673469389,-24.69183673469388
272,ART0002042,56.64,37.26961038961039,19.37038961038961
273,ART0002048,5.76,12.287999999999998,-6.527999999999999
274,ART0002070,16.25,11.797945205479452,4.4520547945205475
275,ART0002079,1.87,3.781555555555556,-1.9115555555555557
276,ART0002102,16.72,5.7475,10.9725
277,ART0002107,18.0,10.180891719745222,7.8191082802547776
278,ART0002109,0.13,1.1037,-0.9736999999999999
279,ART0002112,0.73,1.544230769230769,-0.8142307692307691
280,ART0002123,0.12,0.21359999999999998,-0.09359999999999999
281,ART0002132,7.59,0.7027777777777777,6.887222222222222
282,ART0002133,115.33,142.21142857142857,-26.88142857142857
283,ART0002139,21.39,21.25375796178344,0.13624203821656167
284,ART0002140,22.0,21.316770186335404,0.683229813664596
285,ART0002141,13.46,68.58190476190477,-55.121904761904766
286,ART0002142,13.68,27.787499999999998,-14.107499999999998
287,ART0002144,7.59,0.7027777777777777,6.887222222222222
288,ART0002145,17.64,9.261,8.379000000000001
