,CodiceMP,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
0,ART0001897,10186.1,2038.64,8147.46
1,ART0001785,4232.9800000000005,936.1700000000001,3296.8100000000004
2,ART0001931,2428.44,290.83,2137.61
3,ART0001942,2622.83,709.97,1912.86
4,ART0005160,5098.099999999999,3524.94,1573.1599999999994
5,ART0005154,1589.93,545.9900000000001,1043.94
6,ART0005953,826.57,42.4,784.1700000000001
7,ART0001913,1872.28,1142.4299999999998,729.8500000000001
8,ART0001821,869.4300000000001,234.81,634.6200000000001
9,ART0001832,913.6199999999999,390.37,523.2499999999999
10,ART0005187,890.0799999999999,401.61,488.4699999999999
11,ART0001947,620.06,178.86,441.19999999999993
12,ART0005217,577.11,178.5,398.61
13,ART0001880,895.77,515.8399999999999,379.93000000000006
14,ART0005140,747.37,379.44000000000005,367.92999999999995
15,ART0001923,2685.4499999999994,2329.83,355.61999999999944
16,ART0005209,464.07,120.85,343.22
17,ART0004147,578.4,243.5,334.9
18,ART0005148,751.3800000000001,418.78000000000003,332.6000000000001
19,ART0001872,1162.38,878.26,284.1200000000001
20,ART0005712,436.89,167.62,269.27
21,ART0004153,410.6,144.17,266.43000000000006
22,ART0001929,649.1400000000001,397.12,252.0200000000001
23,ART0001900,376.41,131.89,244.52000000000004
24,ART0001789,491.17,249.13,242.04000000000002
25,ART0004152,480.09000000000003,245.39999999999998,234.69000000000005
26,ART0005439,279.22,70.14,209.08000000000004
27,ART0002554,268.87,61.17,207.7
28,ART0001890,368.07,165.57,202.5
29,ART0002553,245.67000000000002,43.75,201.92000000000002
30,ART0001951,770.49,589.79,180.70000000000005
31,ART0005373,275.93,103.72,172.21
32,ART0001877,2908.76,2741.79,166.97000000000025
33,ART0005683,434.44,268.26,166.18
34,ART0004149,194.4,31.27,163.13
35,ART0001403,287.28,130.39999999999998,156.88
36,ART0001768,380.85,228.72999999999996,152.12000000000006
37,ART0002608,356.3,204.5,151.8
38,ART0001879,298.24,149.12,149.12
39,ART0001945,416.92,270.76,146.16000000000003
40,ART0005668,260.0,120.0,140.0
41,ART0004156,157.75,21.65,136.1
42,ART0001841,418.74,283.44,135.3
43,ART0005409,172.12,43.370000000000005,128.75
44,ART0005453,185.35999999999999,79.44,105.91999999999999
45,ART0001820,248.78000000000003,143.36,105.42000000000002
46,ART0005468,164.26999999999998,60.83,103.43999999999998
47,ART0001778,169.12,72.91,96.21000000000001
48,ART0005342,108.0,14.0,94.0
49,ART0001804,195.61,103.24,92.37000000000002
50,ART0005644,116.8,29.2,87.6
51,ART0005229,110.22999999999999,22.68,87.54999999999998
52,ART0001762,205.97,122.13,83.84
53,ART0005383,403.03000000000003,321.90999999999997,81.12000000000006
54,ART0005693,156.0,78.0,78.0
55,ART0002020,166.15,89.07,77.08000000000001
56,ART0005165,900.41,824.83,75.57999999999993
57,ART0005933,330.0,256.2,73.80000000000001
58,ART0001874,282.51,210.8,71.70999999999998
59,ART0005168,167.87999999999997,96.37,71.50999999999996
60,ART0001884,1958.51,1887.67,70.83999999999992
61,ART0005232,78.7,11.5,67.2
62,ART0005682,99.0,34.5,64.5
63,ART0004151,101.3,37.980000000000004,63.31999999999999
64,ART0002120,71.22999999999999,12.59,58.639999999999986
65,ART0001767,131.94,75.9,56.03999999999999
66,ART0002609,137.72,83.0,54.72
67,ART0001765,1820.01,1766.7100000000003,53.29999999999973
68,ART0005259,76.0,25.0,51.0
69,ART0005211,60.0,12.0,48.0
70,ART0001390,50.0,3.0,47.0
71,ART0005879,72.0,28.5,43.5
72,ART0005239,75.17,32.08,43.09
73,ART0005920,56.0,14.0,42.0
74,ART0005664,266.7,226.12,40.579999999999984
75,ART0005190,59.61,26.369999999999997,33.24
76,ART0005245,41.91,10.13,31.779999999999994
77,ART0005779,33.0,3.4,29.6
78,ART0005788,56.0,28.0,28.0
79,ART0004155,51.300000000000004,23.85,27.450000000000003
80,ART0005335,33.56,6.47,27.090000000000003
81,ART0001987,50.68,25.0,25.68
82,ART0001083,69.27,43.99,25.279999999999994
83,ART0005341,28.48,5.25,23.23
84,ART0005339,26.22,3.3,22.919999999999998
85,ART0005291,31.769999999999996,10.22,21.549999999999997
86,ART0005568,46.83,26.950000000000003,19.879999999999995
87,ART0005855,33.87,14.32,19.549999999999997
88,ART0001836,140.02,121.1,18.920000000000016
89,ART0005164,70.24,53.94,16.299999999999997
90,ART0005543,87.52,71.31,16.209999999999994
91,ART0001426,62.5,46.89,15.61
92,ART0001082,350.15,334.65000000000003,15.499999999999943
93,ART0005357,22.44,7.46,14.98
94,ART0001981,25.98,11.58,14.4
95,ART0005192,23.8,9.48,14.32
96,ART0005727,30.0,16.0,14.0
97,ART0005637,33.86,20.26,13.599999999999998
98,ART0005151,15.590000000000002,3.34,12.250000000000002
99,ART0005340,19.76,8.2,11.560000000000002
100,ART0005914,94.77,84.02,10.75
101,ART0005181,21.34,10.760000000000002,10.579999999999998
102,ART0005599,182.39999999999998,172.8,9.599999999999966
103,ART0005650,24.47,15.620000000000001,8.849999999999998
104,ART0005289,236.0,227.6,8.400000000000006
105,ART0004148,238.59,230.35,8.240000000000009
106,ART0001837,750.25,743.11,7.139999999999986
107,ART0005377,190.8,184.0,6.800000000000011
108,ART0005760,68.0,61.2,6.799999999999997
109,ART0005233,14.56,8.16,6.4
110,ART0005922,21.09,15.459999999999999,5.630000000000001
111,ART0005185,64.5,58.96000000000001,5.539999999999992
112,ART0005821,24.83,19.89,4.939999999999998
113,ART0005426,5.38,0.5,4.88
114,ART0005356,5.510000000000001,0.65,4.86
115,ART0005614,5.75,1.15,4.6
116,ART0001395,7.5,3.23,4.27
117,ART0005697,104.0,100.0,4.0
118,ART0005696,92.0,88.0,4.0
119,ART0005412,9.780000000000003,5.860000000000001,3.9200000000000017
120,ART0005848,61.92,58.05,3.8700000000000045
121,ART0005923,16.54,12.68,3.8599999999999994
122,ART0005595,265.79999999999995,262.52,3.2799999999999727
123,ART0003833,64.16,60.95,3.2099999999999937
124,ART0005847,61.5,58.43,3.0700000000000003
125,ART0004015,178.28,175.27999999999997,3.0000000000000284
126,ART0005451,18.96,16.43,2.530000000000001
127,ART0005883,10.37,8.5,1.8699999999999992
128,ART0001946,1631.53,1629.76,1.7699999999999818
129,ART0005395,9.82,8.12,1.700000000000001
130,ART0005800,2.47,0.82,1.6500000000000004
131,ART0003836,62.14,60.5,1.6400000000000006
132,ART0005729,1.72,0.18,1.54
133,ART0005493,3.95,2.67,1.2800000000000002
134,ART0005163,1.06,0.53,0.53
