,CodiceMP,NrArticolo,ImpiegoPerPezzo_x,CostoPerUnitaMis_x,QuantitydiOutput_x,ImportoCostoTOTALE_x,ImpiegoPerPezzo_y,CostoPerUnitaMis_y,QuantitydiOutput_y,ImportoCostoTOTALE_y
0,ART0000771,ART0005136,0.00980392156862745,230.95,102.0,230.95,,,,
1,ART0000809,ART0005136,0.0196078431372549,561.35,102.0,1122.7,,,,
2,ART0001066,ART0003099,56.0,0.0018703007518796992,19.0,1.99,,,,
3,ART0001068,ART0004671,38.0,0.036,5.0,6.84,,,,
4,ART0001073,ART0002240,46.0,0.08668478260869565,4.0,15.95,,,,
5,ART0001073,ART0002628,17.0,0.08088235294117647,2.0,2.75,15.0,0.08633333333333333,2.0,2.59
6,ART0001074,ART0000018,15.0,0.1716666666666667,2.0,5.15,15.0,0.1716666666666667,2.0,5.15
7,ART0001074,ART0000043,104.0,0.17168269230769231,2.0,35.71,105.0,0.17171428571428574,2.0,36.06
8,ART0001074,ART0002366,67.25,0.17778810408921933,8.0,95.65,43.75,0.1717142857142857,16.0,120.19999999999999
9,ART0001076,ART0001794,149.36363636363637,0.3654656116859404,11.0,600.46,,,,
10,ART0001076,ART0002552,6.1,0.3680327868852459,10.0,22.45,,,,
11,ART0001076,ART0002866,74.5,0.35919463087248327,10.0,267.6,46.0,0.345,10.0,158.7
12,ART0001078,ART0000880,28.733333333333334,0.029582366589327145,15.0,12.75,,,,
13,ART0001078,ART0000881,330.0,0.029575757575757578,3.0,29.28,,,,
14,ART0001080,ART0004898,75.0,0.0022,18.0,2.97,,,,
15,ART0001081,ART0001492,22.0,0.005909090909090909,3.0,0.39,,,,
16,ART0001081,ART0005136,5.294117647058823,0.005981481481481482,102.0,3.23,,,,
17,ART0001082,ART0001164,266.0,0.027731829573934837,3.0,22.13,265.0,0.019949685534591196,3.0,15.86
18,ART0001082,ART0001170,570.0,0.022842105263157893,2.0,26.04,380.0,0.01994736842105263,1.0,7.58
19,ART0001082,ART0003704,197.0,0.02284263959390863,7.0,31.5,196.0,0.01994666048237477,22.0,86.01
20,ART0001082,ART0003785,122.5,0.020455026455026455,54.0,135.31,245.0,0.019946938775510206,30.0,146.61
21,ART0001082,ART0004889,51.55384615384615,0.02994330050731125,65.0,100.34,,,,
22,ART0001082,ART0004904,141.0,0.02284869976359338,6.0,19.33,140.0,0.01994642857142857,4.0,11.17
23,ART0001083,ART0000880,22.666666666666668,0.033,15.0,11.22,25.0,0.03235,16.0,12.94
24,ART0001083,ART0000881,331.0,0.03300100704934542,3.0,32.77,330.0,0.036575757575757574,4.0,48.28
25,ART0001084,ART0002148,35.0,0.0,6.0,0.0,,,,
26,ART0001084,ART0002299,86.0,0.01383720930232558,2.0,2.38,,,,
27,ART0001086,ART0005136,27.764705882352942,0.022189265536723166,102.0,62.84,,,,
28,ART0001385,ART0000797,2.0,19.155,1.0,38.31,1.0,12.5,1.0,12.5
29,ART0001387,ART0000778,3.3333333333333335,2.5,3.0,25.0,2.0,3.02,1.0,6.04
30,ART0001387,ART0000780,1.0,2.5,1.0,2.5,1.0,3.02,2.0,6.04
31,ART0001387,ART0000782,7.4,2.5705405405405406,5.0,95.11,3.6,2.2333333333333334,5.0,40.2
32,ART0001387,ART0000783,6.4,2.5159374999999997,5.0,80.50999999999999,2.6666666666666665,2.4675,6.0,39.48
33,ART0001387,ART0000786,3.0,2.5,2.0,15.0,2.6666666666666665,3.02125,3.0,24.17
34,ART0001389,ART0000797,2.0,31.755000000000003,1.0,63.510000000000005,1.0,12.5,1.0,12.5
35,ART0001390,ART0000780,1.0,3.0,1.0,3.0,1.0,25.0,2.0,50.0
36,ART0001391,ART0000778,3.3333333333333335,2.73,3.0,27.3,2.0,2.83,1.0,5.66
37,ART0001391,ART0000782,7.4,2.8572972972972974,5.0,105.72,3.6,2.796666666666666,5.0,50.33999999999999
38,ART0001391,ART0000783,6.4,2.0,5.0,64.0,2.6666666666666665,2.805625,6.0,44.89
39,ART0001391,ART0000786,3.0,2.0,2.0,12.0,2.6666666666666665,2.8275,3.0,22.62
40,ART0001395,ART0001017,1.0,3.23,1.0,3.23,2.0,3.75,1.0,7.5
41,ART0001398,ART0000849,1.5555555555555556,3.5714285714285716,9.0,50.0,1.0,4.23,1.0,4.23
42,ART0001399,ART0000849,1.5555555555555556,4.228571428571429,9.0,59.2,1.0,4.23,1.0,4.23
43,ART0001400,ART0000847,6.1,2.67344262295082,10.0,163.08,1.5,2.5,2.0,7.5
