,NrArticolo,Descrizione,NrAreaProduzione,TempoRisorsa_x,ImpiegoUnitario_x,CostoOrario_x,QuantitydiOutput_x,TempoRisorsa_y,ImpiegoUnitario_y,CostoOrario_y,QuantitydiOutput_y
0,ART0000018,Controllo qualità,CQ,0.0,0.0,15.0,2.0,0.0,0.0,12.75,2.0
1,ART0000018,Fresatura,A30,1.0,0.5,50.0,2.0,0.75,0.375,51.0,2.0
2,ART0000018,Tornitura,A20,1.0,0.5,80.0,2.0,1.0,0.5,68.0,2.0
3,ART0000041,Controllo qualità,CQ,0.0,0.0,15.0,4.0,0.0,0.0,12.75,4.0
4,ART0000041,Fresatura,A30,0.0001,2.5e-05,80.0,4.0,1.25,0.3125,51.0,4.0
5,ART0000041,Tornitura,A20,3.0,0.75,80.0,4.0,4.5,1.125,51.0,4.0
6,ART0000042,Controllo qualità,CQ,0.0,0.0,15.0,4.0,0.0,0.0,12.75,4.0
7,ART0000042,Fresatura,A30,0.0001,2.5e-05,80.0,4.0,3.5,0.875,51.0,4.0
8,ART0000042,Tornitura,A20,4.0,1.0,80.0,4.0,5.0,1.25,51.0,4.0
9,ART0000043,Brocciatura / stozzatrice,A33,0.75,0.375,50.0,2.0,0.5,0.25,42.5,2.0
10,ART0000043,Controllo qualità,CQ,0.0,0.0,15.0,2.0,0.0,0.0,12.75,2.0
11,ART0000043,Fresatura,A30,1.5,0.75,55.0,2.0,0.25,0.125,51.0,2.0
12,ART0000043,Tornitura,A20,2.75,2.75,70.0,1.0,4.5001,2.25005,68.0,2.0
13,ART0000115,Controllo qualità,CQ,0.0,0.0,15.0,3.0,,,,
14,ART0000115,Tornitura,A20,18.0,6.0,80.0,3.0,,,,
15,ART0000116,Controllo qualità,CQ,0.0,0.0,15.0,3.0,0.0,0.0,12.75,3.0
16,ART0000116,Fresatura,A30,15.75,5.25,50.0,3.0,6.25,2.0833333333333335,46.75,3.0
17,ART0000116,Tornitura,A20,11.75,3.9166666666666665,80.0,3.0,3.75,1.875,68.0,2.0
18,ART0000119,Controllo qualità,CQ,0.0,0.0,15.0,5.0,,,,
19,ART0000119,Fresatura,A30,16.009999999999998,3.2019999999999995,50.0,5.0,7.0,1.4,42.5,5.0
20,ART0000121,Controllo qualità,CQ,0.0,0.0,15.0,15.0,0.0,0.0,12.75,16.0
