,NrArticolo,Mix_x,VolumeTotale_x,PrezzoUnitario_x,Valuta,TassoCambioMedio_x,PrezzoUnitarioEuro_x,Mix_y,VolumeTotale_y,PrezzoUnitario_y,TassoCambioMedio_y,PrezzoUnitarioEuro_y
0,ART0000018,21438525,9329,55.0,2,1.1993,45.86008504961227,27685492,7224,45.0,1.0541,42.690446826676784
1,ART0000041,42877050,9329,120.0,2,1.1993,100.05836738097223,55370985,7224,95.0,1.0541,90.12427663409544
2,ART0000042,42877050,9329,180.0,2,1.1993,150.08755107145834,55370985,7224,150.0,1.0541,142.30148942225594
3,ART0000043,21438525,9329,150.0,2,1.1993,125.07295922621529,27685492,7224,115.0,1.0541,109.09780855706289
4,ART0000115,32157787,9329,365.0,1,1,365.0,166112956,7224,163.75,1,163.75
5,ART0000116,182227462,9329,224.47058823529412,1,1,224.47058823529412,41528239,7224,234.0,1,234.0
6,ART0000119,107192625,9329,50.0,1,1,50.0,83056478,7224,47.0,1,47.0
7,ART0000121,21438525,9329,21.0,1,1,21.0,221483942,7224,21.0,1,21.0
8,ART0000125,42877050,9329,270.0,1,1,270.0,27685492,7224,270.0,1,270.0
9,ART0000128,160788937,9329,28.0,1,1,28.0,69213732,7224,28.0,1,28.0
10,ART0000129,160788937,9329,145.0,1,1,145.0,207641196,7224,48.333333333333336,1,48.333333333333336
11,ART0000131,107192625,9329,33.0,1,1,33.0,83056478,7224,33.0,1,33.0
12,ART0000151,53596312,9329,70.0,1,1,70.0,83056478,7224,72.5,1,72.5
13,ART0000152,53596312,9329,47.0,1,1,47.0,83056478,7224,48.666666666666664,1,48.666666666666664
14,ART0000157,10719262,9329,380.0,1,1,380.0,13842746,7224,380.0,1,380.0
15,ART0000223,42877050,9329,50.0,1,1,50.0,235326688,7224,23.0,1,23.0
16,ART0000226,482366813,9329,240.66666666666666,1,1,240.66666666666666,55370985,7224,240.0,1,240.0
17,ART0000227,825383213,9329,60.714285714285715,1,1,60.714285714285715,83056478,7224,60.0,1,60.0
18,ART0000228,954014363,9329,35.842696629213485,1,1,35.842696629213485,166112956,7224,35.0,1,35.0
19,ART0000229,1339907814,9329,36.696,1,1,36.696,166112956,7224,35.0,1,35.0
20,ART0000308,686032800,9329,40.0,1,1,40.0,415282392,7224,33.333333333333336,1,33.333333333333336
21,ART0000312,1672204952,9329,16.0,1,1,16.0,996677740,7224,16.0,1,16.0
22,ART0000313,385893450,9329,28.0,1,1,28.0,249169435,7224,28.0,1,28.0
23,ART0000320,64315575,9329,66.0,1,1,66.0,83056478,7224,62.5,1,62.5
24,ART0000323,225104512,9329,60.0,1,1,60.0,69213732,7224,60.0,1,60.0
25,ART0000324,257262300,9329,28.0,1,1,28.0,69213732,7224,28.0,1,28.0
26,ART0000325,246543037,9329,60.0,1,1,60.0,69213732,7224,60.0,1,60.0
27,ART0000456,321577875,9329,16.0,1,1,16.0,110741971,7224,10.0,1,10.0
28,ART0000555,64315575,9329,110.0,3,135.01,0.8147544626323977,13842746,7224,110.0,123.4,0.8914100486223663
29,ART0000625,96473362,9329,130.0,3,135.01,0.9628916376564699,276854928,7224,98.0,123.4,0.7941653160453809
30,ART0000627,375174188,9329,29.428571428571427,3,135.01,0.21797327182113493,830564784,7224,23.0,123.4,0.18638573743922204
31,ART0000628,117911887,9329,153.63636363636363,3,135.01,1.1379628445031007,138427464,7224,150.0,123.4,1.2155591572123177
32,ART0000630,814663951,9329,30.657894736842106,3,135.01,0.2270786959250582,1010520487,7224,30.54794520547945,123.4,0.24755223019027106
33,ART0000635,150069675,9329,15.0,3,135.01,0.11110288126805423,442967884,7224,15.0,123.4,0.12155591572123176
34,ART0000638,107192625,9329,23.0,3,135.01,0.17035775127768316,138427464,7224,18.0,123.4,0.1458670988654781
35,ART0000639,117911887,9329,30.0,3,135.01,0.22220576253610846,235326688,7224,19.5,123.4,0.15802269043760128
36,ART0000641,171508200,9329,48.0,3,135.01,0.35552922005777354,69213732,7224,48.0,123.4,0.3889789303079416
37,ART0000642,107192625,9329,44.0,3,135.01,0.3259017850529591,69213732,7224,44.0,123.4,0.3565640194489465
38,ART0000643,214385250,9329,10.0,3,135.01,0.07406858751203615,1135105204,7224,10.0,123.4,0.08103727714748785
39,ART0000644,664594275,9329,45.0,3,135.01,0.3333086438041627,858250276,7224,45.0,123.4,0.36466774716369527
40,ART0000645,557401650,9329,30.0,3,135.01,0.22220576253610846,1010520487,7224,30.0,123.4,0.2431118314424635
41,ART0000690,192946725,9329,75.0,3,135.01,0.5555144063402712,138427464,7224,69.0,123.4,0.5591572123176661
42,ART0000697,150069675,9329,70.0,3,135.01,0.5184801125842531,179955703,7224,70.0,123.4,0.5672609400324149
43,ART0000748,6324364883,9329,90.08474576271186,2,1.1993,75.11443822455755,4138981173,7224,52.86424749163879,1.0541,50.151074368313054
44,ART0000749,10719262,9329,590.0,2,1.1993,491.9536396231135,83056478,7224,184.86666666666667,1.0541,175.37868007462922
45,ART0000752,739629113,9329,456.0,2,1.1993,380.22179604769445,664451827,7224,428.6975,1.0541,406.6952850773171
46,ART0000753,107192625,9329,150.0,2,1.1993,125.07295922621529,304540420,7224,141.0,1.0541,133.7634000569206
47,ART0000756,267981562,9329,290.0,2,1.1993,241.8077211706829,346068660,7224,272.6,1.0541,258.60924011004647
48,ART0000757,10719262,9329,425.0,2,1.1993,354.37338447427663,41528239,7224,399.64000000000004,1.0541,379.1291148847358
49,ART0000758,160788937,9329,293.6,2,1.1993,244.80947219211208,263012181,7224,275.9836842105263,1.0541,261.81926212932956
50,ART0000762,428770500,9329,179.0,2,1.1993,149.2537313432836,1730343300,7224,282.6768,1.0541,268.1688644341144
51,ART0000765,10719262,9329,385.0,2,1.1993,321.0205953472859,41528239,7224,362.03,1.0541,343.4493881035954
