,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
0,21684,BUDGET,ART0001929,ART0000788,ODP16-16812,1.0,126.01
1,21685,BUDGET,ART0001820,ART0000788,ODP16-16812,1.0,52.71
2,21686,BUDGET,ART0005137,ART0000788,ODP16-16812,1.0,0.0
3,21687,BUDGET,ART0005138,ART0000788,ODP16-16812,1.0,0.0
4,21688,BUDGET,ART0005139,ART0000788,ODP16-16812,1.0,0.32
5,21689,BUDGET,ART0003831,ART0000788,ODP16-16812,2.0,5.0
6,21690,BUDGET,ART0001877,ART0000756,ODP16-15232,2.0,255.93
7,21691,BUDGET,ART0001765,ART0000756,ODP16-15232,2.0,162.5
8,21692,BUDGET,ART0001429,ART0000756,ODP16-15232,4.0,15.71
9,21693,BUDGET,ART0005140,ART0000756,ODP16-15232,6.0,9.0
10,21694,BUDGET,ART0005141,ART0000756,ODP16-15232,2.0,0.39
11,21698,BUDGET,ART0001880,ART0000772,ODP16-15712,1.0,270.21
12,21699,BUDGET,ART0001768,ART0000772,ODP16-15712,1.0,115.3
13,21700,BUDGET,ART0005145,ART0000772,ODP16-15712,1.0,0.0
14,21701,BUDGET,ART0005137,ART0000772,ODP16-15712,1.0,0.0
15,21702,BUDGET,ART0003831,ART0000772,ODP16-15712,3.0,7.5
16,21703,BUDGET,ART0005146,ART0000772,ODP16-15712,1.0,0.0
17,21706,BUDGET,ART0001897,ART0000762,ODP16-14704,10.0,1087.02
18,21707,BUDGET,ART0001785,ART0000762,ODP16-14704,10.0,405.15
19,21708,BUDGET,ART0005149,ART0000762,ODP16-14704,10.0,0.0
20,21709,BUDGET,ART0005140,ART0000762,ODP16-14704,30.0,45.0
21,21710,BUDGET,ART0005150,ART0000762,ODP16-14704,10.0,0.0
22,21711,BUDGET,ART0005151,ART0000762,ODP16-14704,10.0,1.47
23,21903,BUDGET,ART0001766,ART0000825,ODP16-14653,2.0,233.86
24,21904,BUDGET,ART0001920,ART0000825,ODP16-14653,2.0,499.39
25,21905,BUDGET,ART0003832,ART0000825,ODP16-14653,6.0,16.5
26,21907,BUDGET,ART0005162,ART0001920,ODP16-14653,460.0,51.89
27,21909,BUDGET,ART0001767,ART0001017,ODP16-15843,1.0,65.97
28,21910,BUDGET,ART0001879,ART0001017,ODP16-15843,1.0,149.12
29,21911,BUDGET,ART0001395,ART0001017,ODP16-15843,1.0,0.0
30,21912,BUDGET,ART0003832,ART0001017,ODP16-15843,3.0,8.25
31,21913,BUDGET,ART0005163,ART0001017,ODP16-15843,1.0,0.53
32,21916,BUDGET,ART0001767,ART0001017,ODP16-16663,1.0,65.97
33,21917,BUDGET,ART0001879,ART0001017,ODP16-16663,1.0,149.12
34,21918,BUDGET,ART0001395,ART0001017,ODP16-16663,1.0,7.5
35,21919,BUDGET,ART0003832,ART0001017,ODP16-16663,3.0,8.25
36,21920,BUDGET,ART0005163,ART0001017,ODP16-16663,1.0,0.53
37,21921,BUDGET,ART0001877,ART0000756,ODP16-15977,5.0,645.23
38,21922,BUDGET,ART0001765,ART0000756,ODP16-15977,5.0,421.96
39,21923,BUDGET,ART0001429,ART0000756,ODP16-15977,10.0,39.29
40,21924,BUDGET,ART0005140,ART0000756,ODP16-15977,15.0,22.5
41,21925,BUDGET,ART0005141,ART0000756,ODP16-15977,5.0,0.98
42,21928,BUDGET,ART0005166,ART0001180,ODP16-14655,525.0,4.21
43,21934,BUDGET,ART0005171,ART0005136,ODP17-00172,15.0,1.23
